event.id,investigation.type,accident.number,event.date,location,country,injury.severity,aircraft.damage,aircraft.category,registration.number,make,model,amateur.built,far.description,total.fatal.injuries,total.serious.injuries,total.minor.injuries,total.uninjured,publication.date,total_passengers,fatal_serious_fraction,is_destroyed,make_model
20001214X42478,Incident,LAX83IA149B,1983-03-18,"LOS ANGELES, CA",United States,Incident,Minor,Airplane,N323EA,lockheed,l-1011,No,Part 121: Air Carrier,0.0,0.0,0.0,588.0,04-12-2014,588.0,0.0,0,lockheed_l-1011
20001214X42478,Incident,LAX83IA149A,1983-03-18,"LOS ANGELES, CA",United States,Incident,Minor,Airplane,9VSQQ,boeing,747,No,Part 129: Foreign,0.0,0.0,0.0,588.0,04-12-2014,588.0,0.0,0,boeing_747
20001214X42331,Accident,ATL83FA140,1983-03-20,"CROSSVILLE, TN",United States,Fatal(1),Destroyed,Airplane,N9600W,piper,pa-28-140,No,Part 91: General Aviation,1.0,1.0,0.0,0.0,02-05-2011,2.0,1.0,1,piper_pa-28-140
20001214X42672,Accident,FTW83LA177,1983-04-02,"MCKINNEY, TX",United States,Fatal(1),Unknown,Airplane,N927BA,de.havilland,dhc-6,No,Part 91: General Aviation,1.0,0.0,0.0,4.0,17-10-2016,5.0,0.2,0,de.havilland_dhc-6
20001214X44248,Incident,MIA83IA210,1983-08-21,"NORFOLK, VA",United States,Incident,Minor,Airplane,N69NA,douglas,dc-10-10,No,Part 121: Air Carrier,0.0,0.0,0.0,289.0,01-02-2016,289.0,0.0,0,douglas_dc-10-10
20001214X44100,Accident,DCA83AA036,1983-08-21,"SILVANA, WA",United States,Fatal(11),Destroyed,Airplane,N116CA,lockheed,"learstar,.l-18-56",No,Part 91: General Aviation,11.0,2.0,0.0,13.0,17-10-2016,26.0,0.5,1,"lockheed_learstar,.l-18-56"
20001214X44944,Accident,NYC84LA015,1983-10-28,"MIDDLETOWN, PA",United States,Fatal(1),Unknown,Airplane,N26288,short.brothers,sd3-30,No,Part 135: Air Taxi & Commuter,1.0,0.0,0.0,29.0,09-12-2011,30.0,0.03333333333333333,0,short.brothers_sd3-30
20001214X45013,Incident,CHI84IA041,1983-11-08,"CHICAGO, IL",United States,Incident,Minor,Airplane,N898AA,boeing,727-200,No,Part 121: Air Carrier,0.0,0.0,0.0,100.0,11-06-2018,100.0,0.0,0,boeing_727-200
20001214X45188,Accident,NYC84LA028,1983-11-13,"MARTHA'S VINEYARD, MA",United States,Non-Fatal,Substantial,Airplane,N1882D,beech,c35,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,05-05-2011,1.0,0.0,0,beech_c35
20001214X45339,Accident,LAX84LA110,1983-12-22,"SANTA ROSA ISLAND, CA",United States,Non-Fatal,Substantial,Airplane,N2697K,cessna,180k,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,01-02-2016,1.0,0.0,0,cessna_180k
